,open,high,low,close,volume
2025-02-13 11:40:00,239.8700,240.1000,239.8600,240.0700,79438
2025-02-13 11:39:00,239.9550,240.0249,239.8600,239.8700,52409
2025-02-13 11:38:00,240.1950,240.1980,239.8200,239.9400,87352
2025-02-13 11:37:00,240.3950,240.4299,240.1050,240.2000,92261
2025-02-13 11:36:00,240.1800,240.4200,240.1640,240.3750,40970
2025-02-13 11:35:00,240.6300,240.6400,240.2000,240.2000,90204
2025-02-13 11:34:00,240.4000,240.7500,240.4000,240.6100,109901
2025-02-13 11:33:00,240.2525,240.4200,240.1250,240.3886,85083
2025-02-13 11:32:00,240.2900,240.3200,239.9500,240.2650,221166
2025-02-13 11:31:00,240.4235,240.5000,240.2800,240.2950,93253
2025-02-13 11:30:00,240.4903,240.4903,240.3200,240.4300,84203
2025-02-13 11:29:00,240.3900,240.6500,240.3600,240.4800,96290
2025-02-13 11:28:00,240.5900,240.6700,240.3800,240.3900,127226
2025-02-13 11:27:00,240.7800,240.8183,240.5300,240.5800,151298
2025-02-13 11:26:00,240.8000,240.8400,240.6800,240.7600,100201
2025-02-13 11:25:00,241.0579,241.1900,240.7004,240.7900,130841
2025-02-13 11:24:00,240.7900,241.1700,240.7100,241.0500,117379
2025-02-13 11:23:00,240.7699,240.9500,240.7400,240.8000,91843
